Item	Score
treasure mama	21.276
health failure	21.24
distribution-dss volunteer	21.154
covid-19 vaccination appointment	21.0168
vaccine appointment	21.0088
pandemic bill	20.924
âtm	20.888
covid testing	20.887
vaers	20.8556
covid wave	20.8352
public health failure	20.79
covid bed	20.701
oxygen supply	20.6965
virus	20.6753
maskless	20.6309
covid-related	20.5727
एक	20.549
transmissible	20.5166
à	20.4914
इन पर	20.465
इन_पर	20.465
relief plan	20.3513
spike protein	20.3453
이펙스	20.269
hesitancy	20.1683
pandemic response	20.1473
omnicron	20.143
icu bed	20.1191
jungwon	20.053
covid care	19.907
cower	19.84
contact number	19.7745
ï	19.7679
start of the pandemic	19.7451
covid surge	19.7338
gain-of-function	19.7105
lab leak theory	19.6985
omicron coronavirus variant	19.691
boris johnson	19.6683
covid insight	19.5897
ramdev	19.5677
horse dewormer	19.3925
new death	19.385
offline exam	19.3464
covid-19 patient	19.34
gov	19.2292
leak theory	19.2137
night curfew	19.1913
anti-asian	19.092
hp inc	19.0233
sajid	19.0213
powell	19.011
ni-ki	18.933
antivaxxer	18.9096
full approval	18.907
covid-19 test	18.8952
b117	18.8685
tsp	18.78
g7	18.6993
o-positive	18.6743
covid number	18.6605
a-positive	18.6243
breakthrough infection	18.602
quarantine	18.5422
social distance	18.5417
र	18.4895
fmg	18.484
weekend lockdown	18.467
dose	18.4611
gain of function	18.4254
covid-19 pandemic	18.4155
ø	18.3762
covid resource	18.324
kumbh mela	18.307
vaccine hesitancy	18.1241
covid lockdown	18.0703
nug	18.0285
vaccine clinic	18.0222
first lockdown	17.9809
lucknow	17.9785
oxygen level	17.9603
seuss	17.859
spread of the omicron	17.752
yatra	17.734
dss volunteer	17.694
vaccine requirement	17.6563
ron desantis	17.6308
hospitalise	17.5806
c19	17.4874
covid-19 infection	17.4839
blood group	17.471
second wave	17.4703
positivity	17.4341
usafacts	17.4315
aktu	17.415
vaccine distribution	17.3566
covid report	17.349
psaki	17.3461
omicron covid	17.34
immunocompromised	17.3266
mela	17.3045
downing	17.304
anti-mask	17.2039
kanwar	17.19
rescue plan	17.1576
prisoner right	17.134
garu	17.132
austria	17.056
ssc chsl	17.045
federal solution	17.042
covid-19 relief bill	17.0225
pfizer-biontech	17.008
misinformation	16.9569
omicron fear	16.955
case of the omicron variant	16.9185
passport	16.8636
astrazeneca vaccine	16.8491
ventilator bed	16.83
flu	16.7837
new coronavirus	16.7599
âœ	16.7559
healthcare worker	16.7552
ù	16.7104
anti-vaccine	16.7062
ðÿš	16.6861
us capitol	16.68
kanwar yatra	16.651
mask guidance	16.6433
covid-19 booster shot	16.6186
american rescue plan	16.6099
pcr	16.565
sant shri asharamji bapu	16.559
asian americans	16.5545
third dose	16.5241
covid19 vaccine	16.4989
prevention kit	16.498
vaccine shot	16.4962
प	16.4412
wuhan lab leak	16.43
heart inflammation	16.4145
variant omicron	16.3945
त आर	16.389
घ ग	16.389
य मह	16.389
य_मह	16.389
घ_ग	16.389
त_आर	16.389
डप	16.384
aiims	16.3559
जर	16.349
variant of concern	16.3273
xmas party	16.319
mandatory vaccination	16.2531
case of omicron variant	16.2485
haridwar	16.241
rapid test	16.2247
cop26	16.2143
mass vaccination	16.2118
biontech	16.2109
american rescue	16.1694
तन द	16.155
तन_द	16.155
vtu	16.128
booster vaccine	16.09
remdesivir injection	16.087
oxygen support	16.077
mucormycosis	16.0573
biden admin	16.0453
p_mcculloughmd	15.997
china virus	15.9953
analytics team	15.9515
god kabir	15.925
first case of omicron	15.918
icus	15.853
enhypen	15.8173
number of units	15.8005
outbreak	15.7975
super bowl	15.75
lockdown party	15.747
mu variant	15.717
ð	15.7008
milkha	15.672
covidiot	15.6622
covid duty	15.6117
anti vaxxer	15.6051
drdo	15.576
previous variant	15.567
vaccine for children	15.5511
new coronavirus variant	15.5438
covid-19 hate	15.5375
clot	15.5299
immunity	15.5224
omicron outbreak	15.519
loomer	15.519
walensky	15.5107
spreader	15.5066
rittenhouse	15.506
heeseung	15.499
religious exemption	15.4848
budget resolution	15.474
deadly pandemic	15.4472
medical oxygen	15.3983
perrottet	15.3803
oxygen shortage	15.3568
dominant variant	15.332
vax rate	15.3208
cases	15.3137
greensill	15.312
covid denier	15.2731
covid origin	15.2528
covid hospitalization	15.2342
zuma	15.233
vax mandate	15.2328
covid policy	15.1865
denier	15.1489
helpline	15.145
sac terrorist	15.11
military junta	15.091
unlawfully	15.077
new covid variant	15.0384
vaccine for kids	15.026
manmohan	15.009
at-home test	14.985
oxygen plant	14.9822
sinovac	14.9822
bakrid	14.951
ji	14.9313
kejriwal	14.9259
vaxxer	14.9203
paid sick day	14.9193
ugandan	14.9125
covax	14.9082
covid symptom	14.8885
bpt	14.87
breaking	14.8584
rare blood clot	14.833
द	14.8247
daszak	14.8213
ghaziabad	14.82
spread of the omicron variant	14.801
ventilator	14.7974
kavanaugh	14.797
covid misinformation	14.7948
lack of oxygen	14.7697
purple balloon	14.74
covid rate	14.7084
sunghoon	14.708
ssc chsl exam	14.692
christma	14.661
delta strain	14.6447
sushant	14.6416
pandemic situation	14.6286
real pandemic	14.6129
corona warrior	14.6122
क	14.6016
covid pill	14.573
pmc	14.5667
vaccine card	14.551
covid treatment	14.5388
mandalay	14.522
ह	14.508
uk variant	14.4555
utsav	14.455
cavuto	14.44
antiviral pill	14.4333
ecohealth	14.4304
covid booster shot	14.3662
covid centre	14.3575
blood clot	14.3475
g7 summit	14.344
emergency use	14.2924
omarion	14.2845
yg	14.261
vaccination clinic	14.2484
sajid javid	14.2468
regeneron	14.2454
non-arab	14.226
universe lockdown	14.222
neutralization	14.194
equal future	14.192
tokyo olympics	14.1743
multiple myeloma	14.171
vaccination centre	14.169
dawei	14.143
mild variant	14.138
mandate	14.1228
starmer	14.1215
cbse	14.1177
sagaing	14.116
mutate	14.1141
paxlovid	14.0925
anti-vaxx	14.0866
boris	14.0752
sant	14.0293
crematorium	14.028
great quran	14.02
super spreader	13.9827
pandemic shit	13.968
severe disease	13.9678
impending doom	13.958
wuhan institute	13.935
beginning of the pandemic	13.8982
covid time	13.8947
g7 leader	13.88
gqp	13.8795
cow urine	13.849
plan b	13.8457
omicron symptom	13.844
imam	13.8405
vaccinated person	13.8192
capitol riot	13.805
severe illness	13.7942
jaam-e-insan guru	13.787
remdesivir	13.7857
covid care centre	13.7817
virology	13.77
coronaviruse	13.727
ssr	13.7084
unvaccinated folk	13.706
श	13.6997
mar-a-lago	13.676
pfizer scientist	13.672
death rate	13.6718
magufuli	13.6677
covid-19 restriction	13.6483
chsl exam	13.648
न	13.6409
donation camp	13.615
plz	13.6128
covid-19 vaccine dose	13.5998
audio statement	13.58
essential worker	13.5715
whitty	13.5431
case rate	13.5182
fauci email	13.492
pre-pandemic level	13.4885
delta outbreak	13.474
desktop manufacturing company	13.456
michael gove	13.455
tornado outbreak	13.446
covid prevention kit	13.4165
african variant	13.4024
covid relief package	13.401
ptd	13.398
ve plasma	13.3965
white fungus	13.394
vaccination card	13.3899
mask wear	13.3795
death toll	13.3735
home test	13.352
trust worthy company	13.3395
reinfection	13.3332
monoclonal	13.325
antibody treatment	13.3093
patent waiver	13.304
yangon	13.294
worthy company	13.283
colin	13.282
astrazeneca covid-19 vaccine	13.2552
ab-positive	13.2325
ब	13.2233
panic buying	13.184
walgreen drug store	13.176
neanderthal	13.152
nahi	13.148
narendra	13.112
म	13.1056
exposure site	13.0977
myanmar	13.0833
fetal cell	13.078
uhuru	13.067
ياريس_ارجوك_الطلاب_هتموت	13.059
vaccine supply	13.0533
कररह	13.046
cdc guidance	13.0132
covid-19 vaccination drive	13.003
ðÿÿ	12.9833
antivax	12.9681
jcvi	12.9552
tejasvi	12.954
positive case	12.9519
covid hero	12.935
myeloma	12.91
pcmc	12.909
pingdemic	12.9065
य	12.9054
shameful news	12.8975
insan	12.8936
floridian	12.8807
pandemic p	12.8762
myanmar people	12.87
covid-19 pill	12.8437
vigil	12.838
aaron	12.821
rolovich	12.819
covid-19 delta variant	12.8127
yoongi	12.795
museveni	12.7895
asymptomatic	12.7886
lollapalooza	12.7655
unvaccinated person	12.7598
appt	12.7585
covid-19 shot	12.7495
eua	12.7447
kya	12.733
स	12.7319
lambda variant	12.7305
modi	12.7159
greg abbott	12.711
south african variant	12.6974
rare blood	12.695
covid positive	12.6917
merck	12.687
icai	12.677
recovered patient	12.669
oxygen	12.6629
xma	12.653
upsc	12.6526
ल_कर	12.646
blood cancer	12.635
covid contract	12.6221
ई	12.6195
variant spread	12.6114
covid-19 relief	12.6018
usafact	12.601
omicron virus	12.591
excess death	12.5771
cuomo	12.5764
ppe	12.5745
covid-19 list	12.5664
mass shooting	12.562
covid spread	12.55
modiji	12.5444
biowarfare	12.529
fourth wave	12.5265
isolation period	12.521
anti-covid	12.5173
kenney	12.5154
need plasma	12.489
vaccine eligibility	12.48
kreme	12.475
haryana	12.46
petrol station	12.454
covid virus	12.4462
function research	12.4363
pandemic legislation	12.409
florida hospital	12.403
number of mutations	12.396
pmcp	12.394
gauteng	12.3886
covid facility	12.3875
kabir	12.3865
unmask	12.3788
ज	12.3766
mahdi	12.362
vaccine certificate	12.3608
covid-19 protocol	12.3497
captain sir tom moore	12.338
lab-leak theory	12.332
home isolation	12.3208
virologist	12.2937
vaccine status	12.2845
spo2 level	12.271
vaccinated individual	12.2423
pl	12.2367
vaccine pass	12.23
ल कर	12.222
epidemiologist	12.2197
lockdown rule	12.2115
infrastructure bill	12.21
indoor mask	12.2079
restriction	12.2076
private student	12.206
early treatment	12.1944
hospital name	12.1825
lmao	12.164
covid-19 omicron	12.162
rite aid	12.1605
covid-19 vaccine booster	12.1558
krispy	12.152
covid warrior	12.1495
ياريس ارجوك الطلاب هتموت	12.147
helpline number	12.127
doug ford	12.1071
ucp	12.106
त	12.1055
omicron patient	12.089
immensa	12.0845
sunak	12.0844
daily case	12.071
lateral flow	12.0692
covid list	12.0679
cremate	12.067
omicron covid variant	12.0575
hcw	12.033
monkeypox	12.028
ivm	12.0226
face mask	12.0186
radio host	12.0093
first omicron case	12.009
anti-masker	11.9977
mandatory vaccine	11.9922
งหา	11.992
covid-22	11.99
supply chain issue	11.9885
relief work	11.978
n95 mask	11.965
ahsec	11.955
vaccination programme	11.954
variant b	11.952
relief package	11.9456
extra attempt	11.9297
anti vax	11.9193
vaccine patent	11.91
षक कब	11.9
वनरक	11.9
षक_कब	11.9
रभगव	11.9
ted nugent	11.888
vaccine start	11.882
cremation	11.8577
other vaccine	11.8379
new strain	11.8193
plz help	11.8125
fungus	11.81
frontline worker	11.809
post covid	11.7899
vaccination mandate	11.7832
vaccine injury	11.7822
inicet	11.781
coronaviru	11.7564
eid	11.7524
ramaphosa	11.7198
eviction moratorium	11.7013
ipl	11.6987
anti-coup strike	11.692
polio	11.6901
vaccination plan	11.69
priority group	11.672
doubling time	11.671
online exam	11.6638
pandemic law	11.655
nagar	11.6533
requiring mask	11.646
moment of silence	11.638
monoclonal antibody	11.6358
dwarka	11.633
jayapal	11.627
south african doctor	11.62
ffs	11.6124
junta terrorist	11.604
shortage of oxygen	11.6023
fuel shortage	11.601
bioweapon	11.5992
covid-19 origin	11.599
arvind	11.5977
variant cover	11.594
mild cold	11.571
new covid	11.5526
coronavirus act	11.5516
low vaccination	11.5514
cleanliness	11.55
nugent	11.539
entire pandemic	11.5336
superspreader	11.5279
gaslighting	11.5274
lockdowns	11.5117
care centre	11.5035
winter storm	11.492
president joe biden	11.4864
gain of function research	11.4815
ðÿ1	11.4761
goi	11.4752
smallpox	11.4747
mam	11.4743
egyptian student	11.456
internal assessment	11.453
sac	11.45
gain-of-function research	11.4473
hgv	11.438
sanchaung	11.432
free at-home	11.423
ग	11.42
walgreens	11.4095
bhai	11.4038
âž	11.4017
other variant	11.3902
ó 3ó	11.37
previous wave	11.367
mongering	11.3598
anti-covid drug	11.338
olympics	11.332
one-year anniversary	11.331
vaccine effectiveness	11.325
cp3	11.312
at-home covid	11.289
ड	11.275
जप	11.257
ट	11.2538
rapid antigen test	11.237
contact name	11.2265
kyrie	11.2207
big pharma	11.218
at-home covid test	11.209
anal swab	11.2033
surya	11.202
humble request	11.1983
capitol	11.193
cases today	11.1887
antiviral	11.1877
vax passport	11.1776
phil valentine	11.171
vaccine today	11.1668
pincode	11.1657
monoclonal antibody treatment	11.1592
total case	11.1504
hcq	11.1474
moderna vaccine	11.146
कब	11.139
planet of torment	11.131
vaccination program	11.1276
joe biden	11.1168
next variant	11.1055
community pantry	11.088
र_द	11.08
sop	11.0644
central vista	11.0515
ccp	11.0515
public health measure	11.0492
year anniversary	11.0445
wear mask	11.0346
covid ward	11.0286
stay home stay safe	11.02
bolsonaro	11.0112
catching covid	11.0099
narendra modi	10.9985
holi	10.9763
youngkin	10.9627
delta plus variant	10.952
astrazeneca covid vaccine	10.9515
johnson vaccine	10.9504
fda approval	10.9495
unjabbed	10.9456
matt hancock	10.9422
foundation day	10.937
school mask	10.9367
pyre	10.9275
covid center	10.9245
lockdown restriction	10.9243
icymi	10.9217
infection rate	10.912
urgent requirement	10.899
kn95	10.8966
sydney lockdown	10.895
रपरम	10.894
driver shortage	10.892
candace	10.889
botswana	10.888
didi	10.879
free test	10.869
xmas	10.8646
johnson covid-19 vaccine	10.8635
sturgis	10.8627
red list	10.8407
senate democrats	10.835
rsv	10.8117
covid death rate	10.8069
bhi	10.8064
coronavirus pandemic	10.8029
chain issue	10.8027
lnp	10.7981
southern african country	10.798
ratg13	10.795
tfg	10.7867
govt hospital	10.784
india variant	10.78
raila	10.771
kappan	10.757
local case	10.7434
urgent help	10.7315
immune escape	10.727
negative test	10.7266
double-masking	10.726
mamata	10.7247
nhi	10.724
oðÿ	10.7165
owen paterson	10.713
dose of vaccine	10.712
chris rock	10.71
ÿà	10.708
rahul	10.7002
disinformation	10.6992
class 12th board	10.698
pfizer booster	10.6958
new mask	10.6743
o2	10.6653
peter daszak	10.6623
military council	10.65
covid delta	10.6443
oxygen tanker	10.637
zxc21	10.628
relief check	10.623
vihar	10.62
tbh	10.6122
hgv driver	10.6095
south african scientist	10.577
hospital system	10.576
insurrection	10.5747
covid management	10.5742
covid measure	10.5677
झ	10.563
corona curfew	10.554
petrol	10.541
mask in schools	10.538
pregnant people	10.5347
new coronavirus case	10.5281
ए बह	10.528
ए_बह	10.528
horse paste	10.5235
covid hospital	10.52
captain tom	10.518
sick day	10.5175
federal vaccine	10.517
anti-science	10.5067
laura loomer	10.5
larry king	10.494
anti-asian violence	10.494
omicron threat	10.493
kenyatta	10.493
hydroxychloroquine	10.4854
boostered	10.482
pfizer covid-19 vaccine	10.4785
plzz	10.473
genocidal	10.464
crisis standard	10.463
preventable	10.46
vaxxed people	10.4585
mishandle	10.4536
abbott	10.451
oxford-astrazeneca	10.4508
nsw health	10.4412
covid cases	10.435
hochul	10.4226
patna	10.4185
firebreak	10.416
omicron variant case	10.413
confirmed omicron	10.413
new covid-19 variant	10.399
booster for all adults	10.398
juneteenth	10.397
bvlgari	10.393
ürsin	10.391
free vaccine	10.3869
sacha	10.379
covid-19 outbreak	10.3748
deworming	10.3715
cpac	10.3625
experimental vaccine	10.3603
postal code	10.352
age relaxation	10.351
police union	10.34
health official	10.3286
double mask	10.3282
doyoung	10.32
people die	10.3184
caleb wallace	10.316
cancun	10.314
china	10.3098
surat	10.307
hotel quarantine	10.3064
flow test	10.3033
mcallen	10.303
adityanath	10.2993
positive test	10.2974
military terrorist	10.283
post pandemic	10.2829
cdc director	10.2721
novavax	10.2708
panic buy	10.2623
symptomatic	10.2564
candace owens	10.247
sauda	10.2368
next pandemic	10.2291
mandate in schools	10.217
यरस स	10.211
व बर	10.211
यरस_स	10.211
व_बर	10.211
birthday bash	10.207
child poverty	10.203
transmissibility	10.2018
deathsantis	10.2005
curfew	10.1993
national lockdown	10.1898
dera sacha sauda	10.1887
walgreens houston	10.1875
politicize	10.1871
fda panel	10.184
xiumin	10.178
free rapid test	10.173
home covid test	10.173
met gala	10.173
covid complication	10.1654
low vaccination rate	10.1652
nu	10.141
birx	10.1379
cow dung	10.136
blackpink	10.1085
breaking social distancing	10.091
nursing home death	10.088
coronil	10.0852
quarantine hotel	10.084
gb news	10.08
covid vaccine dose	10.0797
र प	10.077
र_प	10.077
got covid	10.075
anti lockdown	10.075
breakthrough	10.0745
rare heart	10.074
pro-covid	10.0548
maharashtra	10.0461
covid recovery	10.0429
covid-19 vaccine appointment	10.0392
covid-19 testing	10.0295
trump	10.0231
sunoo	10.021
appropriate behaviour	10.0201
jandk	10.013
icse	10.011
biden vaccine	10.0035
pro vaccine	9.981
आस	9.981
gladys berejiklian	9.979
anti-asian hate	9.969
case of heart	9.963
cbse board	9.963
covid transmission	9.9583
rapid antigen	9.9573
former guy	9.9527
vaccination campaign	9.9512
ncr	9.945
க	9.9423
omarion variant	9.935
lateral flow test	9.9348
covid law	9.9343
fast recovery	9.9325
idk	9.9319
health measure	9.9311
yall	9.91
variant of the coronavirus	9.9082
taking ivermectin	9.906
variant case	9.8983
sars-cov-2 infection	9.888
faridabad	9.888
election commission	9.884
sadhguru	9.884
bhopal	9.8825
chinese virus	9.877
bbmp	9.875
epidemic	9.8747
asuu	9.873
ganga	9.8723
animalistic origin	9.86
getting omicron	9.855
intubate	9.8532
launglon	9.85
covid-19 world	9.849
stimulus check	9.8397
plasma donor	9.8316
monywa	9.831
scott morrison	9.8292
षक	9.829
tocilizumab	9.812
krispy kreme	9.81
covid-19 thanks	9.8088
bhakt	9.7977
domestic terrorist	9.797
srinivas	9.793
trajectory of the pandemic	9.789
delta coronavirus variant	9.787
oxygen tank	9.784
wannabe dictator	9.779
uddhav	9.7698
jandj vaccine	9.7664
lebron	9.766
spreading covid	9.7658
mohammed	9.7625
शपथ_पत	9.762
nsw	9.7618
universal mask	9.7593
modi government	9.7578
omicron variant of the coronavirus	9.756
mu	9.752
free vaccination	9.751
qanon	9.7491
valentine	9.748
covid visualization	9.7448
mask mandate in schools	9.7385
swab	9.7363
isolation time	9.736
shri	9.7338
ðÿœ	9.7318
pro-democracy	9.731
modi govt	9.7299
coronavirus death	9.722
kar	9.7165
personal choice	9.7092
budget reconciliation	9.699
southern border	9.6983
cvs pharmacy	9.6983
namo	9.6924
cdc guideline	9.6838
case of heart inflammation	9.68
corona period	9.672
ðÿtmðÿ	9.6716
prior infection	9.6677
indian strain	9.663
craig kelly	9.659
wembley	9.658
tuchel	9.65
ndtv	9.6427
rt	9.6424
covid victim	9.6422
cuban people	9.636
sold provider	9.636
junelle3	9.636
christmas lockdown	9.629
case number	9.6231
religious gathering	9.623
cdc datum	9.6197
covid strain	9.6177
uk strain	9.61
म ब	9.604
म_ब	9.604
थ_भ	9.604
दभ	9.603
ban on mask mandates	9.603
third lockdown	9.593
pox	9.5907
pill	9.587
pm modi	9.579
black marketing	9.5765
covid-19 omicron variant	9.576
covid relief check	9.567
full lockdown	9.5641
aspirant	9.5636
nhs staff	9.5604
plandemic	9.5589
dera	9.5535
one-day increase	9.5468
risk of blood clots	9.546
comorbiditie	9.545
enyart	9.545
buying fuel	9.545
rohini	9.544
âš	9.539
help right	9.533
vaccine centre	9.526
inauguration day	9.525
class 12th board exam	9.519
proper lockdown	9.5185
pandemic restriction	9.5164
vaccination effort	9.5161
swollen testicle	9.506
lakh	9.5008
removalist	9.5
coronavirus research	9.4957
dry run	9.494
african doctor	9.488
new local case	9.4866
brett kavanaugh	9.482
ðÿž	9.4772
negative covid test	9.472
á	9.472
vaccine shortage	9.4708
ambani	9.464
presser	9.4611
albertan	9.4584
covid test kit	9.453
โคว	9.4499
fmg doctor	9.446
ðÿtmðÿtm	9.446
vaccine database	9.444
vaccination requirement	9.4423
spreading misinformation	9.4399
lft	9.4388
manchin	9.4361
impeach	9.4342
war room	9.43
jai	9.428
need of the hour	9.4227
sputnik	9.4225
vaccine booster shot	9.416
antigen test	9.4149
mild disease	9.413
hosp	9.4125
capitol building	9.412
tak	9.4078
jaam-e-insan	9.406
railway employee	9.405
deaths	9.4048
broward	9.399
newsom	9.3962
vizag	9.3955
physiotherapy student	9.394
conservative radio	9.394
vaccine apartheid	9.3915
health minister	9.3896
dictatorship	9.381
vaccine company	9.378
kachin	9.377
nigga	9.3701
pfizer booster shot	9.367
covid-19 surge	9.3661
dharna	9.364
imran	9.359
eviction ban	9.355
च	9.3498
coronavirus vaccination	9.3467
merry christmas	9.341
œà	9.3327
buying petrol	9.32
covid-19 jab	9.3188
lemon water	9.3045
moronic	9.3022
qanda	9.298
saket	9.292
sonu	9.2905
at-home	9.2861
à1	9.2848
hazzard	9.2843
cdc mask	9.284
bank detail	9.281
speedy recovery	9.2805
shib	9.2797
farm law	9.2775
covid-19 update	9.2665
min wage	9.2653
olympic village	9.264
pandemic hit	9.2611
ष	9.2604
state colin powell	9.256
great reset	9.2504
upsc aspirant	9.2485
ल	9.243
jaishankar	9.241
staff shortage	9.232
texas dems	9.229
rtpcr	9.2287
bharat biotech	9.2273
anti-asian racism	9.2255
negative report	9.224
chhattisgarh	9.22
ecq	9.2163
covid prevention	9.2128
वस	9.21
vaccine plan	9.2085
sedition	9.206
abduct	9.204
covid safety	9.1886
wilcannia	9.185
uttarakhand	9.1835
hepa	9.1823
indoor mask mandate	9.182
neanderthal thinking	9.181
uttar	9.181
origin of the virus	9.18
people in hospital	9.1769
allopathy	9.1745
covid help	9.173
nagpur	9.171
व	9.1692
american law	9.167
vaccine export	9.166
ateez lockdown	9.165
vaccine death	9.1521
œ	9.1434
pre covid	9.1419
namjoon	9.1418
jobless claim	9.14
full vaccination	9.1393
greek letter	9.136
aur	9.1354
vaccine efficacy	9.1337
urgent plasma	9.133
spread covid	9.1295
जग	9.128
sinopharm	9.1278
central vista project	9.125
teachers union	9.1221
mco	9.1185
copr	9.114
attendant name	9.1105
tidal wave	9.11
farmers protest	9.109
banning mask	9.1085
mild illness	9.108
covid tyranny	9.0968
covid-positive	9.0943
confirmed case	9.0921
obr	9.088
amplify	9.087
unvaccinated child	9.0864
mismanagement	9.0809
iyc	9.08
frontline	9.0798
mein	9.0765
whole pandemic	9.0701
vaccine site	9.0697
noem	9.0685
pune	9.0605
child death	9.0603
risk of hospitalization	9.0602
omicron come	9.057
salingyi	9.052
covid norm	9.0412
cdc eviction	9.03
one-day increase on record	9.0287
mrng	9.02
unvaccinated kid	9.0198
food packet	9.018
selfless service	9.0115
ahmedabad	9.0115
natural origin	9.008
nin	9.006
pandemic contract	9.005
pandemic time	9.0041
stay-at-home	9.002
smh	9.0005
vaccine manufacturer	8.9987
quality mask	8.995
vaccine production	8.9945
kanpur	8.994
tory	8.9932
gas shortage	8.989
covid-19 misinformation	8.9884
global warming theory	8.983
pharma	8.9777
omicron scare	8.977
insein	8.977
kao wool	8.972
ffp2	8.9712
k-wool	8.969
फ	8.967
regular insulation	8.965
trudeau	8.9569
high vaccination	8.9564
high transmission	8.953
school board meeting	8.9467
warming theory	8.942
african scientist	8.941
sewa	8.9405
ayush	8.936
